ntp 4.2.8.p15-3.1
numactl 2.0.16-1.1
obconf 2.0.4-8.1
ocl-icd 2.3.1-1.1
octopi 0.14.0-3
oh-my-zsh-git r6554.c81804825-1
oniguruma 6.9.8-1.1
openal 1.23.0-2.1
openbox 3.6.1-10.1
opencl-mesa 23.0.1-2
opencore-amr 0.1.6-1.1
opendesktop-fonts 1.4.2-6
openexr 3.1.6-1.1
openjpeg2 2.5.0-2.1
openmpi 4.1.5-1.1
openpmix 4.2.3-1
openresolv 3.12.0-1
openssh 9.3p1-1.1
openssl 3.0.8-1.1
openssl-1.1 1.1.1.t-1.1
openvpn 2.6.2-1.1
opus 1.3.1-3.1
orc 0.4.33-1.1
os-prober 1.81-1.1
ostree 2023.2-1.1
otf-fira-mono 2:3.206-4
otf-firamono-nerd 2.3.3-2
p11-kit 0.24.1-1.1
p7zip 1:17.05-1.1
pacman 6.0.2-10
pacman-contrib 1.8.2-1.1
pacman-mirrorlist 20230226-1
pacutils 0.11.1-1.1
pahole 1:1.24+r29+g02d67c5-2
pam 1.5.2-1.1
pambase 20221020-1
pango 1:1.50.14-1.1
pangomm 2.46.3-1.1
parallel 20230222-1
parted 3.5-1.1
paru 1.11.1-2
pasystray 0.8.1-1.1
patch 2.7.6-9.1
pavucontrol 1:5.0+r61+gee77d86-2.1
pciutils 3.9.0-2.1
pcmanfm-gtk3 1.3.2-1.1
pcre 8.45-3.1
pcre2 10.42-2.1
pcsclite 1.9.9-3.1
pcurses 5-5
perl 5.36.0-3.1
perl-alien-build 2.78-1
perl-alien-libxml2 0.19-1
perl-capture-tiny 0.48-6
perl-clone 0.46-1.1
perl-dbi 1.643-4.1
perl-encode-locale 1.05-10
perl-error 0.17029-4
perl-ffi-checklib 0.31-2
perl-file-chdir 0.1011-4
perl-file-listing 6.15-2
perl-file-which 1.27-2
perl-html-parser 3.81-1.1
perl-html-tagset 3.20-13
perl-http-cookies 6.10-3
perl-http-daemon 6.16-1
perl-http-date 6.05-6
perl-http-message 6.44-1
perl-http-negotiate 6.01-11
perl-io-html 1.004-3
perl-libwww 6.67-1
perl-lwp-mediatypes 6.04-3
perl-mailtools 2.21-6
perl-net-http 6.22-2
perl-path-tiny 0.144-1
perl-timedate 2.33-4
perl-try-tiny 0.31-2
perl-uri 5.17-1
perl-www-robotrules 6.02-11
perl-xml-libxml 2.0208-1.1
perl-xml-namespacesupport 1.12-5
perl-xml-parser 2.46-4.1
perl-xml-sax 1.02-1
perl-xml-sax-base 1.09-5
perl-xml-writer 0.900-1
picom 10.2-1.1
pinentry 1.2.1-1.1
pipewire 1:0.3.67-1.1
pipewire-alsa 1:0.3.67-1.1
pipewire-audio 1:0.3.67-1.1
pipewire-jack 1:0.3.67-1.1
pipewire-pulse 1:0.3.67-1.1
pixman 0.42.2-1.1
pkcs11-helper 1.29.0-2.1
pkgconf 1.8.1-1.1
pkgfile 21-3.1
polkit 122-1.1
polkit-qt5 0.114.0-1.1
poppler 23.03.0-1.1
poppler-data 0.4.12-1
poppler-glib 23.03.0-1.1
popt 1.19-1.1
portaudio 1:19.7.0-2.1
power-profiles-daemon 0.12-1.1
powerline-common 2.8.3-1.1
powerline-fonts 2.8.3-1.1
ppp 2.4.9-3.1
procps-ng 3.3.17-1.1
protobuf 21.12-1.1
psmisc 23.6-1.1
pulsemixer 1.5.1-3
pv 1.6.20-2.1
python 3.10.10-2
python-async-timeout 4.0.2-1
python-attrs 22.2.0-1
python-autocommand 2.2.2-1
python-beautifulsoup4 4.11.2-1
python-build 0.10.0-1
python-cairo 1.23.0-4
python-cairocffi 1.4.0-1
python-capng 0.8.3-1.1
python-certifi 2022.12.07-1
python-cffi 1.15.1-1.1
python-chardet 5.1.0-1
python-click 8.1.3-1
python-clickgen 2.1.3-1
python-configobj 5.0.6.r110.g3e2f4cc-3
python-cryptography 39.0.2-1.1
python-defusedxml 0.7.1-4
python-distro 1.8.0-2
